Name,Description,Time
latios,Found,12-09-2021 13:04:38
latios-mega,Found,12-09-2021 13:04:38
leafeon,Found,12-09-2021 13:04:38
leavanny,Found,12-09-2021 13:04:38
ledian,Found,12-09-2021 13:04:38
ledyba,Found,12-09-2021 13:04:39
lickilicky,Found,12-09-2021 13:04:39
lickitung,Found,12-09-2021 13:04:39
liepard,Found,12-09-2021 13:04:40
lileep,Found,12-09-2021 13:04:40
lilligant,Found,12-09-2021 13:04:41
lillipup,Found,12-09-2021 13:04:41
linoone,Found,12-09-2021 13:04:41
linoone-galarian,Not Found,12-09-2021 13:04:43
litleo,Found,12-09-2021 13:04:43
litten,Found,12-09-2021 13:04:44
litwick,Found,12-09-2021 13:04:44
lombre,Found,12-09-2021 13:04:45
lopunny,Found,12-09-2021 13:04:45
lopunny-mega,Found,12-09-2021 13:04:45
lotad,Found,12-09-2021 13:04:46
loudred,Found,12-09-2021 13:04:47
lucario,Found,12-09-2021 13:04:47
lucario-mega,Found,12-09-2021 13:04:47
ludicolo,Found,12-09-2021 13:04:48
lugia,Found,12-09-2021 13:04:48
lumineon,Found,12-09-2021 13:04:49
lunala,Found,12-09-2021 13:04:49
lunatone,Found,12-09-2021 13:04:49
lurantis,Found,12-09-2021 13:04:50
luvdisc,Found,12-09-2021 13:04:50
luxio,Found,12-09-2021 13:04:51
luxray,Found,12-09-2021 13:04:51
lycanroc-dusk,Found,12-09-2021 13:04:52
lycanroc-midday,Found,12-09-2021 13:04:52
lycanroc-midnight,Found,12-09-2021 13:04:53
machamp,Found,12-09-2021 13:04:53
machoke,Found,12-09-2021 13:04:54
machop,Found,12-09-2021 13:04:55
magby,Found,12-09-2021 13:04:55
magcargo,Found,12-09-2021 13:04:56
magearna,Found,12-09-2021 13:04:57
magikarp,Found,12-09-2021 13:04:58
magmar,Found,12-09-2021 13:04:58
magmortar,Found,12-09-2021 13:04:58
magnemite,Found,12-09-2021 13:04:58
magneton,Found,12-09-2021 13:04:59
magnezone,Found,12-09-2021 13:04:59
makuhita,Found,12-09-2021 13:04:59
malamar,Found,12-09-2021 13:04:59
mamoswine,Found,12-09-2021 13:05:00
manaphy,Found,12-09-2021 13:05:01
mandibuzz,Found,12-09-2021 13:05:01
manectric,Found,12-09-2021 13:05:03
manectric-mega,Found,12-09-2021 13:05:03
mankey,Found,12-09-2021 13:05:03
mantine,Found,12-09-2021 13:05:03
mantyke,Found,12-09-2021 13:05:04
maractus,Found,12-09-2021 13:05:04
mareanie,Found,12-09-2021 13:05:04
mareep,Found,12-09-2021 13:05:04
marill,Found,12-09-2021 13:05:04
marowak,Found,12-09-2021 13:05:06
marowak-alolan,Not Found,12-09-2021 13:05:07
marshadow,Found,12-09-2021 13:05:08
marshtomp,Found,12-09-2021 13:05:08
masquerain,Found,12-09-2021 13:05:08
mawile,Found,12-09-2021 13:05:09
mawile-mega,Found,12-09-2021 13:05:09
medicham,Found,12-09-2021 13:05:09
medicham-mega,Found,12-09-2021 13:05:10
meditite,Found,12-09-2021 13:05:11
meganium,Found,12-09-2021 13:05:11
melmetal,Found,12-09-2021 13:05:11
meloetta-aria,Found,12-09-2021 13:05:12
meloetta-pirouette,Found,12-09-2021 13:05:13
meltan,Found,12-09-2021 13:05:13
